Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1990,1,3,3,1707,1630,1755,1723,US,29,NA,48,53,NA,32,37,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,4,4,1706,1630,1807,1723,US,29,NA,61,53,NA,44,36,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,5,5,1629,1630,1715,1723,US,29,NA,46,53,NA,-8,-1,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,6,6,1633,1630,1718,1723,US,29,NA,45,53,NA,-5,3,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,8,1,1630,1630,1726,1723,US,29,NA,56,53,NA,3,0,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,9,2,1734,1630,1818,1723,US,29,NA,44,53,NA,55,64,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,10,3,1634,1630,1723,1723,US,29,NA,49,53,NA,0,4,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,11,4,1745,1630,1833,1723,US,29,NA,48,53,NA,70,75,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,12,5,1650,1630,1742,1723,US,29,NA,52,53,NA,19,20,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,13,6,1629,1630,1716,1723,US,29,NA,47,53,NA,-7,-1,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,14,7,1632,1630,1717,1723,US,29,NA,45,53,NA,-6,2,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,15,1,1633,1630,1718,1723,US,29,NA,45,53,NA,-5,3,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,16,2,1632,1630,1722,1723,US,29,NA,50,53,NA,-1,2,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,18,4,1627,1630,1729,1723,US,29,NA,62,53,NA,6,-3,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,19,5,1640,1630,1746,1723,US,29,NA,66,53,NA,23,10,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,20,6,1714,1630,1809,1723,US,29,NA,55,53,NA,46,44,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,21,7,1627,1630,1715,1723,US,29,NA,48,53,NA,-8,-3,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1990,1,22,1,1632,1630,1716,1723,US,29,NA,44,53,NA,-7,2,CMH,IND,182,NA,NA,0,NA,0,NA,NA,NA,NA,NA
